Heure (HH:MM:SS);StockBatteries (kWh);EntreesElec (kWh/s);SortiesElec (kWh/s);EntreeBatterie (kWh/s)
00:00:00;9.8072;0;0;0.0
00:05:00;9.79654;0;0;-3.553333333333223e-05
00:10:00;9.785879999999999;0;0;-3.553333333333815e-05
00:15:00;9.775220000000001;0;0;-5.7086338797809335e-05
00:20:00;9.76456;0;0;-3.2620765027324695e-05
00:25:00;9.7539;0;0;-3.262076502731877e-05
00:30:00;9.74324;0;0;-3.2620765027324695e-05
00:35:00;9.73258;0;0;-5.82513661202159e-05
00:40:00;9.72192;0;0;-3.553333333333815e-05
00:45:00;9.700600000000001;0;0;-3.961092896174042e-05
00:50:00;9.68994;0;0;-6.698907103825628e-05
00:55:00;9.67928;0;0;-3.553333333333223e-05
01:00:00;9.664251147540984;0;0;-3.553333333333815e-05
01:05:00;9.654464918032787;0;0;-3.553333333333223e-05
01:10:00;9.636640000000002;0;0;-3.5533333333326314e-05
01:15:00;9.62598;0;0;-3.553333333333815e-05
01:20:00;9.61532;0;0;-3.553333333333223e-05
01:25:00;9.60466;0;0;-3.553333333333223e-05
01:30:00;9.594873770491803;0;0;-3.553333333333815e-05
01:35:00;9.594;0;0;-3.553333333333223e-05
01:40:00;9.58334;0;0;-3.553333333333223e-05
01:45:00;9.57268;0;0;-3.553333333333223e-05
01:50:00;9.56202;0;0;-3.553333333333815e-05
01:55:00;9.551359999999999;0;0;-3.5533333333326314e-05
02:00:00;9.536156393442623;0;0;-3.553333333333815e-05
02:05:00;9.51938;0;0;-7.106666666666446e-05
02:10:00;9.50592393442623;0;0;-3.553333333333815e-05
02:15:00;9.487400000000001;0;0;-5.825136612020998e-05
02:20:00;9.476740000000001;0;0;-4.834863387978672e-05
02:25:00;9.46608;0;0;-3.553333333333223e-05
02:30:00;9.45542;0;0;-1.398032786884921e-05
02:35:00;9.44476;0;0;-3.2620765027324695e-05
02:40:00;9.434099999999999;0;0;-3.2620765027324695e-05
02:45:00;9.423440000000001;0;0;-2.73781420764981e-05
02:50:00;9.41278;0;0;-3.7863387978145365e-05
02:55:00;9.40212;0;0;-3.3203278688525016e-05
